time,type,size,volatility,open,high,low,close
2022-04-27 09:00,Red,0.0029900074,190.27428,1.25928,1.25956,1.25657,1.25732
2022-04-27 10:00,Red,0.0038700104,191.33382,1.25735,1.25796,1.25409,1.25718
2022-04-27 11:00,Red,0.0041999817,193.23856,1.25719,1.25774,1.25354,1.25375
2022-04-27 12:00,Green,0.0063899755,196.4528,1.25373,1.26012,1.25373,1.25884
2022-04-27 13:00,Red,0.0024900436,196.8576,1.25884,1.26,1.25751,1.25882
2022-04-27 14:00,Red,0.0027599335,197.75644,1.25882,1.2592,1.25644,1.25656
2022-04-27 15:00,Red,0.004369974,199.4766,1.25655,1.25702,1.25265,1.25413
2022-04-27 16:00,Green,0.0041600466,200.91711,1.25413,1.25781,1.25365,1.25613
2022-04-27 17:00,Red,0.006250024,203.44096,1.25613,1.25644,1.25019,1.25025
2022-04-27 18:00,Green,0.004450083,205.566,1.25025,1.25468,1.25023,1.25435
2022-04-27 19:00,Green,0.003039956,206.38144,1.25434,1.25733,1.25429,1.25668
2022-04-27 20:00,Red,0.0014100075,206.59575,1.25669,1.25686,1.25545,1.25575
2022-04-27 21:00,Red,0.0025299788,207.64925,1.25575,1.25611,1.25358,1.25407
2022-04-27 22:00,Green,0.0011299849,208.0242,1.25407,1.25461,1.25348,1.25452
2022-04-27 23:00,Red,0.0009100437,208.2028,1.25451,1.25469,1.25378,1.25434
2022-04-28 00:00,Red,0.0006300211,208.2207,1.25432,1.2544,1.25377,1.25391
2022-04-28 01:00,Red,0.0009599924,208.48856,1.25391,1.25428,1.25332,1.25354
2022-04-28 02:00,Green,0.0007699728,208.30399,1.25354,1.25419,1.25342,1.25392
2022-04-28 03:00,Red,0.001330018,208.10756,1.25391,1.25393,1.2526,1.25318
2022-04-28 04:00,Green,0.0019299984,208.6611,1.25315,1.2545,1.25257,1.25433
2022-04-28 05:00,Red,0.0015599728,208.54802,1.25434,1.25437,1.25281,1.25393
2022-04-28 06:00,Red,0.0034899712,209.82773,1.25393,1.2543,1.25081,1.25106
2022-04-28 07:00,Green,0.0017299652,209.88725,1.25107,1.25251,1.25078,1.25151
2022-04-28 08:00,Green,0.0043998957,211.64914,1.25152,1.25347,1.24907,1.25212
2022-04-28 09:00,Green,0.0025900602,211.85754,1.25211,1.25407,1.25148,1.25395
2022-04-28 10:00,Green,0.0041199923,213.42294,1.25395,1.25693,1.25281,1.25558
2022-04-28 11:00,Red,0.00248003,213.19681,1.25557,1.25564,1.25316,1.25355
2022-04-28 12:00,Red,0.0035499334,214.29204,1.25354,1.25393,1.25038,1.25115
2022-04-28 13:00,Red,0.005390048,216.27425,1.25115,1.2517,1.24631,1.24645
2022-04-28 14:00,Red,0.005190015,217.9052,1.24644,1.24752,1.24233,1.24252
2022-04-28 15:00,Green,0.0054399967,219.5064,1.24252,1.24751,1.24207,1.24295
2022-04-28 16:00,Green,0.0033099651,220.01828,1.24301,1.24615,1.24284,1.24373
